Name,URL,Author,Price,No. of Ratings,Rating,ISBN
CBSE Chapterwise Solved Paper Mathematics Class 12th,https://www.amazon.in/Chapterwise-Solved-Paper-Mathematics-Class/dp/9313161435?_encoding=UTF8&psc=1,Not Available,172.00,81,4.3 out of 5 stars,9313161435
Believe in Yourself,https://www.amazon.in/Believe-Yourself-Dr-Joseph-Murphy/dp/8183225098?_encoding=UTF8&psc=1,Not Available,57.00,459,4.1 out of 5 stars,8183225098
High School English Grammar and Composition Book (Regular Edition),https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1,Not Available,259.00,883,4.4 out of 5 stars,9352530144
Black Holes: The Reith Lectures,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X?_encoding=UTF8&psc=1,Stephen Hawking,74.00,312,4.3 out of 5 stars,085750357X
Fast Track Objective Arithmetic,https://www.amazon.in/Track-Objective-Arithmetic-Rajesh-Verma/dp/9312149830?_encoding=UTF8&psc=1,Not Available,223.00,"2,876",4.3 out of 5 stars,9312149830
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319?_encoding=UTF8&psc=1,Not Available,90.00,86,4.5 out of 5 stars,9387779319
Oxford School Atlas: India's Most Trusted Atlas,https://www.amazon.in/Oxford-School-Atlas-Indias-Trusted/dp/019946071X?_encoding=UTF8&psc=1,Not Available,197.00,363,4.5 out of 5 stars,019946071X
"The Power of Habit: Why We Do What We Do, and How to Change",https://www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1,Charles Duhigg,286.00,639,4.4 out of 5 stars,1847946240
Peppa Pig: Little Library,https://www.amazon.in/Peppa-Pig-Little-Library-Ladybird/dp/1409303187?_encoding=UTF8&psc=1,Not Available,130.00,680,4.0 out of 5 stars,1409303187
Will You Still Love Me?,https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1,Ravinder Singh,94.00,289,4.5 out of 5 stars,0143429361
The Secret Of The Nagas (Shiva Trilogy-2),https://www.amazon.in/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340?_encoding=UTF8&psc=1,Amish Tripathi,176.00,"1,676",4.6 out of 5 stars,9381626340
How to Prepare for Quantitative Aptitude for the CAT,https://www.amazon.in/How-Prepare-Quantitative-Aptitude-CAT/dp/9353160189?_encoding=UTF8&psc=1,Arun Sharma,455.00,137,4.5 out of 5 stars,9353160189
Emotion and Relationships,https://www.amazon.in/Emotion-Relationships-Sadhguru/dp/9386867508?_encoding=UTF8&psc=1,Sadhguru,138.00,124,4.7 out of 5 stars,9386867508
History of Modern India,https://www.amazon.in/History-Modern-India-Bipan-Chandra/dp/8125036849?_encoding=UTF8&psc=1,Bipan Chandra,289.00,843,4.0 out of 5 stars,8125036849
"RRB Junior Engineer 2018-19 : Chapter-wise & Year-wise Solved Papers
2014 & 15 (17 Sets)",https://www.amazon.in/RRB-Junior-Engineer-2018-19-Chapter-wise/dp/9388182561?_encoding=UTF8&psc=1,Not Available,299.00,22,4.4 out of 5 stars,9388182561
Bhagvad gita as it is english new edition,https://www.amazon.in/Bhagvad-gita-as-english-new/dp/9384564192?_encoding=UTF8&psc=1,Not Available,148.00,393,4.8 out of 5 stars,9384564192
You are the Best Wife: A True Love Story,https://www.amazon.in/You-are-Best-Wife-Story/dp/9382665544?_encoding=UTF8&psc=1,Ajay K Pandey,79.00,"2,819",4.7 out of 5 stars,9382665544
The Prophet,https://www.amazon.in/Prophet-Kahlil-Gibran/dp/817234354X?_encoding=UTF8&psc=1,Kahlil Gibran,69.00,242,4.5 out of 5 stars,817234354X
Rich Dad Poor Dad,https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218?_encoding=UTF8&psc=1,Robert T. Kiyosaki,135.00,"3,563",4.5 out of 5 stars,8186775218
